,county,precinct,office,district,party,candidate,votes
0,St_Joseph,CENTRE TWP 1,Ballots Cast,,,,757
1,St_Joseph,CENTRE TWP 1,Registered Voters,,,,1122
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,1
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,3
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,4
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,463
0,St_Joseph,CENTRE TWP 1,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,278
1,St_Joseph,CENTRE TWP 1,PUBLIC QUESTION #1,,,YES,350
1,St_Joseph,CENTRE TWP 1,PUBLIC QUESTION #1,,,NO,332
2,St_Joseph,CENTRE TWP 1,Straight Party,,DEM,DEMOCRATIC,150
2,St_Joseph,CENTRE TWP 1,Straight Party,,REP,REPUBLICAN,335
2,St_Joseph,CENTRE TWP 1,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,CENTRE TWP 1,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,CENTRE TWP 1,Straight Party,,RED,INDIANA REDEMPTION PARTY,1
3,St_Joseph,CENTRE TWP 1,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CENTRE TWP 1,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,252
3,St_Joseph,CENTRE TWP 1,UNITED STATES SENATOR,,REP,JIM BANKS,485
3,St_Joseph,CENTRE TWP 1,UNITED STATES SENATOR,,LIB,ANDREW HORNING,3
3,St_Joseph,CENTRE TWP 1,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CENTRE TWP 1,ATTORNEY GENERAL,,DEM,DESTINY WELLS,268
0,St_Joseph,CENTRE TWP 1,ATTORNEY GENERAL,,REP,TODD ROKITA,467
1,St_Joseph,CENTRE TWP 1,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,246
1,St_Joseph,CENTRE TWP 1,COUNTY CORONER,,REP,PATRICIA JORDAN,484
2,St_Joseph,CENTRE TWP 1,COUNTY RECORDER,,DEM,SHARON BANICKI,264
2,St_Joseph,CENTRE TWP 1,COUNTY RECORDER,,REP,CANDACE BROWN,465
3,St_Joseph,CENTRE TWP 1,COUNTY TREASURER,,REP,MICHAEL ROSE,458
3,St_Joseph,CENTRE TWP 1,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,267
4,St_Joseph,CENTRE TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,CENTRE TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,15
4,St_Joseph,CENTRE TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,463
4,St_Joseph,CENTRE TWP 1,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,266
5,St_Joseph,CENTRE TWP 1,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,235
5,St_Joseph,CENTRE TWP 1,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,500
6,St_Joseph,CENTRE TWP 1,STATE REPRESENTATIVE,7,DEM,NO CANDIDATE FILED,0
6,St_Joseph,CENTRE TWP 1,STATE REPRESENTATIVE,7,REP,JAKE TESHKA,537
7,St_Joseph,CENTRE TWP 1,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,311
7,St_Joseph,CENTRE TWP 1,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,CENTRE TWP 1,STATE SENATOR,10,LIB,TIM COTTON,134
8,St_Joseph,CENTRE TWP 1,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,255
8,St_Joseph,CENTRE TWP 1,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,478
8,St_Joseph,CENTRE TWP 1,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,6
8,St_Joseph,CENTRE TWP 1,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CENTRE TWP 1,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,21
0,St_Joseph,CENTRE TWP 1,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,245
0,St_Joseph,CENTRE TWP 1,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,470
1,St_Joseph,CENTRE TWP 1,COUNTY COUNCIL DISTRICT F,,DEM,CHARLOTTE P. WOLFE,246
1,St_Joseph,CENTRE TWP 1,COUNTY COUNCIL DISTRICT F,,REP,RANDY FIGG,486
2,St_Joseph,CENTRE TWP 1,COUNTY SURVEYOR,,DEM,ED FISHER,284
2,St_Joseph,CENTRE TWP 1,COUNTY SURVEYOR,,REP,DEREK D DIETER,452
3,St_Joseph,CENTRE TWP 1,MANIER - JUDICIAL RETENTION,,,YES,428
3,St_Joseph,CENTRE TWP 1,MANIER - JUDICIAL RETENTION,,,NO,148
4,St_Joseph,CENTRE TWP 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,406
4,St_Joseph,CENTRE TWP 1,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,163
5,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE DEREK READ MOLTER,,,YES,413
5,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE DEREK READ MOLTER,,,NO,163
6,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE LORETTA H. RUSH,,,YES,427
6,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE LORETTA H. RUSH,,,NO,158
7,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE MARK S. MASSA,,,YES,412
7,St_Joseph,CENTRE TWP 1,RETAIN JUSTICE MARK S. MASSA,,,NO,167
8,St_Joseph,CENTRE TWP 1,SANFORD - JUDICIAL RETENTION,,,YES,421
8,St_Joseph,CENTRE TWP 1,SANFORD - JUDICIAL RETENTION,,,NO,157
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,119
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,112
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,144
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,114
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,105
9,St_Joseph,CENTRE TWP 1,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,219
0,St_Joseph,CENTRE TWP 1,STEELE - JUDICIAL RETENTION,,,YES,425
0,St_Joseph,CENTRE TWP 1,STEELE - JUDICIAL RETENTION,,,NO,144
1,St_Joseph,CENTRE TWP 1,TELLOYAN - JUDICIAL RETENTION,,,YES,425
1,St_Joseph,CENTRE TWP 1,TELLOYAN - JUDICIAL RETENTION,,,NO,153
2,St_Joseph,CENTRE TWP 1,WOODS - JUDICIAL RETENTION,,,YES,434
2,St_Joseph,CENTRE TWP 1,WOODS - JUDICIAL RETENTION,,,NO,151
0,St_Joseph,CENTRE TWP 2,Ballots Cast,,,,639
1,St_Joseph,CENTRE TWP 2,Registered Voters,,,,925
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,7
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,5
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,437
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,183
1,St_Joseph,CENTRE TWP 2,PUBLIC QUESTION #1,,,YES,316
1,St_Joseph,CENTRE TWP 2,PUBLIC QUESTION #1,,,NO,257
2,St_Joseph,CENTRE TWP 2,Straight Party,,DEM,DEMOCRATIC,98
2,St_Joseph,CENTRE TWP 2,Straight Party,,REP,REPUBLICAN,289
2,St_Joseph,CENTRE TWP 2,Straight Party,,LIB,LIBERTARIAN,1
2,St_Joseph,CENTRE TWP 2,Straight Party,,WTP,WE THE PEOPLE,0
